distance,ideal,cnga
0.0,31.393604030453954,34.75031997159312
1.0,31.17170524748071,34.507620143387015
2.0,30.948215490787817,34.2634724925545
3.0,30.723100041291808,34.01784779315036
4.0,30.49632289910972,33.77071581825985
5.0,30.267846716617697,33.522045291396346
6.0,30.037632726980377,33.27180383484321
7.0,29.80564066777644,33.01995791470536
8.0,29.57182869930853,32.76647278241415
9.0,29.336153317145516,32.51131241240636
10.0,29.098569258399497,32.25443943567147
11.0,28.85902888482166,31.995815068833405
12.0,28.617483854961367,31.735398659451096
13.0,28.37388264236988,31.473148922810097
14.0,28.128171825004618,31.209022093020057
15.0,27.88029562667854,30.94297288942435
16.0,27.630195769212357,30.674954173647503
17.0,27.377811312429934,30.404916841021507
18.0,27.123078480752206,30.132809703712372
19.0,26.865930474991735,29.858579364757954
20.0,26.6062972677742,29.582170082137843
21.0,26.34410538081155,29.303523621893742
22.0,26.07927764201941,29.02257909920258
23.0,25.81173292020352,28.739272806171957
24.0,25.541385834730214,28.453538024976275
25.0,25.2681464372361,28.16530482477867
26.0,24.991919862013724,27.87449984068503
27.0,24.712605941220982,27.581046032747953
28.0,24.430098780489484,27.28486242277438
29.0,24.14428628983379,26.985863806385794
30.0,23.855049663969453,26.68396043742578
31.0,23.56226280520704,26.37905768139797
32.0,23.26579168097176,26.071055634136428
33.0,22.965493606663657,25.75984870134799
34.0,22.661216442973892,25.445325134004037
35.0,22.352797694846643,25.127366513779844
36.0,22.040063496945947,24.805847181815757
37.0,21.7228274676541,24.48063360297833
38.0,21.40088941016595,24.151583656490505
39.0,21.074033834989134,23.81854584223269
40.0,20.742028272902093,23.48135839013027
41.0,20.404621340882688,23.139848257762324
42.0,20.061540515336528,22.79382999855604
43.0,19.712489556640993,22.44310447954793
44.0,19.3571455159298,22.08745742353866
45.0,18.995155238298263,21.72665774533898
46.0,18.626130533878626,21.360455645431514
47.0,18.24964582338763,20.98858041640598
48.0,17.865228985185006,20.61073790749747
49.0,17.472356472642765,20.226607579844412
50.0,17.070444479307337,19.835838270349157
51.0,16.658838757102494,19.43804694547657
52.0,16.236802109688877,19.03281015430878
53.0,15.803498877252855,18.619660652991836
54.0,15.357975477831031,18.198080082904198
55.0,14.899135706223653,17.7674907788872
56.0,14.42570895341045,17.327245807822017
57.0,13.936208696332233,16.87661674655744
58.0,13.428877349032549,16.414778538577202
59.0,12.901611562349352,15.940790527748087
60.0,12.351858767786085,15.453572418871445
61.0,11.776470155101249,14.9518734006946
62.0,11.17148531515196,14.434231892474202
63.0,10.53180519419986,13.898922179575045
64.0,9.850673205747315,13.343882307083886
65.0,9.118803919985979,12.766614497480537
66.0,8.322825178100192,12.1640440978608
67.0,7.442194095859932,11.532313768341092
68.0,6.442288957147394,10.866472388987113
69.0,5.255465961441758,10.159984304760544
70.0,3.706312858035682,9.403910243567045
