distance,ideal,cnga
0.0,4.336678212541886,4.336678212541886
1.0,4.306025113768484,4.308987365212093
2.0,4.275152560241537,4.281100843855875
3.0,4.244055640723922,4.253013737236112
4.0,4.212728668520024,4.22472294351883
5.0,4.181167507851212,4.196223292980742
6.0,4.149365955049541,4.167511166815547
7.0,4.117318840391726,4.1385813952999575
8.0,4.085019960209819,4.109429325683016
9.0,4.052464144780536,4.080049788241433
10.0,4.019644673463601,4.050438647196581
11.0,3.9865548256187417,4.0205896988805145
12.0,3.9531878806056846,3.9904972565976173
13.0,3.9195371177841563,3.960156667596931
14.0,3.885594782569225,3.9295606942658527
15.0,3.8513536373482897,3.8987041668810964
16.0,3.816804893591762,3.867579847830059
17.0,3.7819407967147103,3.8361815334447966
18.0,3.746752558187546,3.804501986112706
19.0,3.711230355536024,3.772533968221185
20.0,3.675364883258227,3.740269725185304
21.0,3.639145801907581,3.7077015024201305
22.0,3.60256277203751,3.6748205113960775
23.0,3.565604420256783,3.641618480555884
24.0,3.528259373174168,3.6080866213699627
25.0,3.4905141895091183,3.5742140774194104
26.0,3.4523564619257434,3.5399920601746384
27.0,3.4137722321711688,3.505409196244414
28.0,3.3747470250201896,3.470454629209835
29.0,3.335265331302944,3.435116985679669
30.0,3.295310607904913,3.399383341345697
31.0,3.254865277766919,3.3632412888720307
32.0,3.2139112468574575,3.326676870005794
33.0,3.172428353255708,3.289675609521783
34.0,3.1303959180685212,3.2522219982501355
35.0,3.0877911945134326,3.2143005270209892
36.0,3.0445904018633216,3.1758931018028393
37.0,3.0007676915017516,3.1369816285641803
38.0,2.9562956638952995,3.0975464623565196
39.0,2.911143817676571,3.0575674412590383
40.0,2.8652811345058424,3.017021301516943
41.0,2.818671943292431,2.9758852963477693
42.0,2.7712795390009974,2.93413409410741
43.0,2.7230615299005865,2.891739261317785
44.0,2.673975007287913,2.848671847528486
45.0,2.623969824847091,2.80490031742746
46.0,2.5729932514005904,2.7603900338686818
47.0,2.520986352102935,2.715104291816813
48.0,2.467883471468378,2.6690022504578836
49.0,2.4136122333708974,2.622039967143951
50.0,2.3580925070995393,2.5741698804207735
51.0,2.301233822496777,2.525337708193834
52.0,2.2429343360138514,2.4754865835069735
53.0,2.183078245849128,2.424552401791428
54.0,2.12153372405878,2.3724627869211767
55.0,2.0581503316951486,2.319139159102253
56.0,1.9927517811941373,2.264492599094116
57.0,1.9251328345412415,2.208422297292663
58.0,1.8550505147419594,2.1508155537302325
59.0,1.782214800319875,2.0915420913799845
60.0,1.7062720822021382,2.030454056155903
61.0,1.626788620604947,1.9673792962725218
62.0,1.5432169418321793,1.9021161925216372
63.0,1.4548518956274503,1.834427971576692
64.0,1.3607613808820644,1.7640308156292148
65.0,1.2596617553037917,1.6905799041359446
66.0,1.1497058767620885,1.6136533876766397
67.0,1.0280566011168988,1.532719818697368
68.0,0.889930900382836,1.4470973106965381
69.0,0.7259844997181508,1.3558858148498358
70.0,0.5119858721307294,1.257855453987218
